,mixer0.state_emptying_tank_B201.active,mixer0.state_emptying_tank_B202.active,mixer0.state_emptying_tank_B203.active,mixer0.state_emptying_tank_B204.active,mixer0.state_filling_tank_B201.active,mixer0.state_filling_tank_B202.active,mixer0.state_filling_tank_B203.active,mixer0.state_initialStep.active,mixer0.tank_B201.level,mixer0.tank_B202.level,mixer0.tank_B203.level,mixer0.tank_B204.level,mixer0.sensor_continuous_pressure_tank_B201.p,mixer0.sensor_continuous_pressure_tank_B202.p,mixer0.sensor_continuous_pressure_tank_B203.p,mixer0.sensor_continuous_pressure_tank_B204.p,mixer0.sensor_continuous_volumeFlowRate.V_flow,mixer0.sensor_continuous_volumeFlowRate.port_a.m_flow,mixer0.sensor_continuous_volumeFlowRate.port_b.m_flow,mixer0.pump_P101.N_in,mixer0.pump_n_in,mixer0.sensor_discrete_tank_B201_high.showActive,mixer0.sensor_discrete_tank_B201_low.showActive,mixer0.sensor_discrete_tank_B201_medium.showActive,mixer0.sensor_discrete_tank_B202_high.showActive,mixer0.sensor_discrete_tank_B202_low.showActive,mixer0.sensor_discrete_tank_B202_medium.showActive,mixer0.sensor_discrete_tank_B203_high.showActive,mixer0.sensor_discrete_tank_B203_low.showActive,mixer0.sensor_discrete_tank_B203_medium.showActive,mixer0.sensor_discrete_tank_B204_high.showActive,mixer0.sensor_discrete_tank_B204_low.showActive,mixer0.sensor_discrete_tank_B204_medium.showActive,mixer0.clogging_valve.opening,mixer0.leaking_valve.opening,mixer0.valve_in0.opening,mixer0.valve_in1.opening,mixer0.valve_in2.opening,mixer0.valve_out.opening,mixer0.valve_pump_tank_B201.opening,mixer0.valve_pump_tank_B202.opening,mixer0.valve_pump_tank_B203.opening,mixer0.valve_pump_tank_B204.opening
0,0,0,1,0,0,0,0,0,0.0219999998977998,0.0219999998977997,0.0330000001033,0.0442567375081346,100205.5691022909,100205.5691022909,101268.5336451391,100423.4404162313,0.0,0.0,-0.0,0.0,150,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1
1,0,0,1,0,0,0,0,0,0.0219999998977998,0.0219999998977997,0.0330000001033,0.0442567375081346,100205.5691002159,100205.5691002159,101268.5336451391,100423.4404162313,0.0,0.0,-0.0,0.0,150,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1
2,0,0,1,0,0,0,0,0,0.0219999998977998,0.0219999998977997,0.0330000001033,0.0442567375081346,100205.5691002159,100205.5691002159,101268.5336451391,100423.4404162313,0.0,0.0,-0.0,0.0,150,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1
3,0,0,1,0,0,0,0,0,0.0219999998977998,0.0219999998977997,0.033003692653208,0.0442594785844776,100205.5691015206,100205.5691015206,100313.2802183827,100423.4672166161,1.594158827211558e-05,0.0158866376453157,-0.0158866376453157,0.3083837733804015,150,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1
4,0,0,1,0,0,0,0,0,0.0219999998977998,0.0219999998977997,0.033003692653208,0.0442594785844776,100205.5691022908,100205.5691022908,100313.2802183827,100423.4672166161,1.594158827211558e-05,0.0158866376453157,-0.0158866376453157,0.3083837733804015,150,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1
5,0,0,1,0,0,0,0,0,0.0219999998977998,0.0219999998977997,0.0297678586844983,0.0475085482416085,100205.5691076192,100205.5691076166,98212.50880959364,100455.2485612471,7.890627940565292e-05,0.0787232631797736,-0.0787232631797736,111.2110413486659,150,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1
6,0,0,1,0,0,0,0,0,0.0219999998977998,0.0219999998977997,0.0297678586844983,0.0475085482416085,100205.5691076192,100205.5691076166,98212.50880959364,100455.2485612471,7.890627940565292e-05,0.0787232631797736,-0.0787232631797736,111.2110413486659,150,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1
7,0,0,1,0,0,0,0,0,0.0219999998977998,0.0219999998977997,0.0232441554519463,0.0540415767710949,100205.5691184948,100205.5691184664,96760.50093693672,100519.1885011784,0.0001039913932944,0.1037980405094212,-0.1037980405094212,144.2799365922804,150,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1
8,0,0,1,0,0,0,0,0,0.0219999998977998,0.0219999998977997,0.0232441554519463,0.0540415767710949,100205.5691184948,100205.5691184664,96760.50093693672,100519.1885011784,0.0001039913932944,0.1037980405094212,-0.1037980405094212,144.2799365922804,150,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1
9,0,0,1,0,0,0,0,0,0.0219999998977998,0.0219999998977997,0.0219999998977998,0.0552873616951054,100205.5691209358,100205.5691208992,96508.19220066864,100531.3828638625,0.0001078590681008,0.1076606549423746,-0.1076606549423746,149.2990913964183,150,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1
